urls,precio,direccion,caracteristicas
/propiedades/clasificado/veclapin-edificio-depar-r-s-pena-1001-departamentos-2-dorm.-49231300.html,46.500,"['Roque Saenz Peña 1001', ' Macrocentro', ' Resistencia']","[['58\nm² tot.'], ['48\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['2\ndorm.'], ['10\nAños'], ['Frente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-de-2-dorm.-en-venta-a-estrenar-52041999.html,179.000,"['Departamento a Estrenar en Resistencia. 2 Dormitorios -Av Sarmiento 645', ' Resistencia', ' Chaco']","[['85\nm² tot.'], ['85\nm² cub.'], ['3\namb.'], ['2\nBaños'], ['1\ncoch.'], ['2\ndorm.'], ['A estrenar'], ['Contrafrente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-alvear-251-departamento-3-dorm.-2-banos-100-50822059.html,65.000,"['Av Alvear 251', ' Macrocentro', ' Resistencia']","[['120\nm² tot.'], ['100\nm² cub.'], ['5\namb.'], ['2\nBaños'], ['3\ncoch.'], ['3\ndorm.'], ['40\nAños'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-solar-belgrano-52314398.html,44.910,"['av. belgrano 1475', ' Villa Río Araza', ' Resistencia']","[['49\nm² tot.'], ['39\nm² cub.'], ['2\namb.'], ['3\nBaños'], ['1\ndorm.'], ['A estrenar'], ['Luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50197555.html,38.000,"['Colon al 1300', ' Resistencia', ' Chaco']","[['40\nm² tot.'], ['40\nm² cub.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['5\nAños']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50373969.html,125.000,"['Mitre al 400', ' Resistencia', ' Chaco']","[['82\nm² tot.'], ['82\nm² cub.'], ['4\namb.'], ['1\nBaño'], ['1\ncoch.'], ['3\ndorm.'], ['10\nAños']]"
/propiedades/clasificado/veclapin-departamento-resistencia-48472020.html,85.000,"['Santiago del Estero al 500', ' Resistencia', ' Chaco']","[['75\nm² tot.'], ['75\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['1\ncoch.'], ['2\ndorm.'], ['8\nAños'], ['Contrafrente']]"
/propiedades/clasificado/veclapin-departamento-4-ambientes-av-pellegrini-440-51698982.html,55.000,"['pellegrini 440', ' Microcentro', ' Resistencia']","[['54\nm² tot.'], ['54\nm² cub.'], ['4\namb.'], ['1\nBaño'], ['2\ndorm.'], ['20\nAños'], ['Frente'], ['NE'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-50995518.html,23.000,"['Fontana al 400', ' Resistencia', ' Chaco']","[['42\nm² tot.'], ['37\nm² cub.'], ['1\namb.'], ['1\nBaño'], ['2\nAños'], ['Contrafrente']]"
/propiedades/clasificado/veclapin-edificio-incone-echeverria-350-departamento-de-tres-51025370.html,65.000,"['ECHEVERRIA 250', ' Centro', ' Resistencia']","[['75\nm² tot.'], ['75\nm² cub.'], ['4\namb.'], ['2\nBaños'], ['1\ncoch.'], ['1\ndorm.'], ['1\nToilette'], ['40\nAños'], ['Contrafrente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-en-venta-42515970.html,75.000,"['SAN LORENZO 700', ' Resistencia', ' Chaco']","[['77\nm² tot.'], ['77\nm² cub.'], ['3\namb.'], ['2\ndorm.'], ['Contrafrente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-1-ambiente-centro-resistencia-48275371.html,45.000,"['AV.LAS HERAS 700', ' Resistencia', ' Chaco']","[['38\nm² tot.'], ['38\nm² cub.'], ['1\namb.'], ['1\nBaño'], ['Frente'], ['SE'], ['Luminoso']]"
/propiedades/clasificado/veclapin-departamento-resistencia-49081625.html,240.000,"['Av. Sarmiento al 600', ' Resistencia', ' Chaco']","[['122\nm² tot.'], ['92\nm² cub.'], ['3\namb.'], ['2\nBaños'], ['1\ncoch.'], ['2\ndorm.'], ['4\nAños'], ['Lateral'], ['Muy luminoso']]"
/propiedades/clasificado/veclappa-departamento-1-dormitorio-desde-usd-39.000-50631027.html,39.000,"['San Lorenzo 1450', ' Zona U.N.N.E', ' Resistencia']","[['47\nm² tot.'], ['40\nm² cub.'], ['2\namb.'], ['1\nBaño'], ['1\ndorm.'], ['A estrenar'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-solar-ameghino-976-departamento-2-dorm.-85-m-sup2--51038302.html,118.000,"['ameghino 976', ' Centro', ' Resistencia']","[['95\nm² tot.'], ['85\nm² cub.'], ['3\namb.'], ['2\nBaños'], ['1\ncoch.'], ['2\ndorm.'], ['1\nToilette'], ['A estrenar'], ['Frente'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-excelente-departamento-en-venta-2-dorm.-conin-iv-51213644.html,200.000,"['Av. Italia al 400', ' Resistencia', ' Chaco']","[['130\nm² tot.'], ['98\nm² cub.'], ['3\namb.'], ['2\nBaños'], ['1\ncoch.'], ['2\ndorm.'], ['3\nAños'], ['Frente'], ['NO'], ['Muy luminoso']]"
/propiedades/clasificado/veclapin-departamento-2-dorm.-con-cochera-46236638.html,44.000,"['Av Marconi 132', ' Resistencia', ' Chaco']","[['56\nm² tot.'], ['56\nm² cub.'], ['3\namb.'], ['1\nBaño'], ['1\ncoch.'], ['2\ndorm.'], ['5\nAños']]"
